ID	tat_toxic	tat_detox1
375	Остеге комментларынны укы, дибил! Гел немесларны яклап язгансын бит, иди пиздуй немесларын янына!	Өстәге комментарийларыңны укы, зирәк булырга тырыш! Гел немецларны яклап язгансың бит, немецларыңа барып кушыл инде!
376	Буген 1 мэктэптэ бер кыз кластташына сикерэ сугышалар теге кызга похуй бугай сикерэ бирешми МОЛОДЕЦ!!! Исемен генэ белмим языр инде.	Бүген 1 мәктәптә бер кыз класташына сикерә, сугышалар! Теге кызга берни дә түгел бугай, сикерә дә бирешми, АФӘРИН!!! Исемен генә белмим, язаргалар кирәк әле.
377	Юкка гына эйтмилэр жэннэт эни аяк астында дип! Автор ты сука!	Юкка гына әйтмиләр, җәннәт әни аяк астында дип! Авторнысы бер дә килешле түгел!
378	заибали уже,тегене ярамый,моны язасын,нигэ гел шундый типта.	Борчыйсыз инде, тегене ярамый, моны язасың, нигә гел шундыйрак сөйләшәсез.
379	Уземэ килеп эйт эле шуны? Лично чырайга бэреп эйт! Шунда куренер кем пиздюк кем нет!	Уземэ килеп эйт эле шуны? Лично чырайга туры карап эйт! Шунда куренер кем туземле, кем юк!
380	Нәрсә син, уҗым бозавы, мине котыртасың? Нәрсә өсләтәсең?	Нәрсә син, аңгыра терлек, мине котыртасың? Нәрсә өсләтәсең?
381	Пиздец егетлэр пошли. Оятыгыз бармы сезнен егетлэр?  Узегез килеп алсагыз ничегрэк булыр иде микэн?	Егетләр дә төрле булды. Оятыгыз бармы сезнең, егетләр? Үзегез килеп алсагыз, дөресрәк булыр иде микән?
382	Кутак карап баргач шул була инде!!!	Карамый йөргәнгә шундый хәл була инде!
383	кешенекен тынла узеннекен эшлэ! калганнарын на**й пошли)	Кешенекен тыңла, үзеңнекен эшлә! Калганнарын оныт!
384	Ал сабын хэм бау чыгып асылын сука!	Ал сабын һәм бау, һәм тынычлыкка ирешергә тырыш!
385	Егетлэр ойлэнешеп,э пюздюклар калган!	Егетләр өйләнешеп бетә, ә калганнар тартыша!
386	Еба... сэлэмэт булганына, доньяга туганына соен дэ, яп авызынны, нинди генэ авыртулар бн корэшучелэр юк, алар бит яшэргэ дип корэшэ, э син яшь башыннан, тормыштан туйдым дисен, егет кеше, хэр проблеманы чишэ белергэ тиеш, э сопли агызып утырырга тугел!!	Эх, сау-сәламәт булганыңа, дөньяга туганыңа шөкер ит тә, авызыңны яп. Нинди генә авыртулар белән көрәшүчеләр юк бит, алар яшәр өчен көрәшә. Ә син яшьтән үк, тормыштан туйдым дисең. Егет кеше һәр проблеманы чишәргә тырышырга тиеш, сыкрап утырырга түгел!
387	Әстәге!Монда язарга кирәкмени аны,сука!?	Әстәге! Монда язарга кирәкмени аны, нәрсә уйлап?
388	Пи#де# актаныштагы кызларга егетлэр житми чтоли !!	Актаныштагы кызларга егетләр җитми микән?!
389	Шундый белэтлэрне гомергэ анламадым инде мин.	Шундый белэтсезлэрне гомергэ анламадым инде мин.
390	Алып атыгыз бу к.... сүзлекне!!!! Җүнлерәк әйбер куйсагыз,укагыз коеламы???	Алып атыгыз бу сәер сүзлекне! Җүнлерәк әйбер куйсагыз, эшләми торыр идегезме?!
391	шлюха ты последняя автор.ходай тагэлэ бар ул.кеше ирлэре белэн йоклаганда эчэгелэрен эйлэнеп чыкса ярар иде.!!!	Син, чамасыз автор. Ходай барысын күрә, кеше ирләре белән арагызга чик куйсагыз иде.
392	аборД блеать, нэрсэ ясатканынны дорес итеп яза да белмисен, э ботынны аерырга ойрэнгэнсен, бестолочь!	Аборд ясаганны дөрес итеп яза да белмисең, ә башка эшләргә өйрәнсәң дә булыр иде.
393	Уф чистый *аебали бу ГИАгыз белэн ЕГЭгыз, уф достали, барыгызда бирэчэксез бит инде! Админ ялыкмадынмы???	Уф, шундый туйдырды бу ГИАгыз белән ЕГЭгыз. Барыгыз да бирәчәксез бит инде! Админ, арымадыңмы?!
394	Кутак алтын булмасада ул чилэк кадэр булмый, саклаганнары сакласын синен то монда ни эшен бар?!	Алтын булмаса да, кеше бул, саклаганнары сакласын. Синең монда ни эшең бар соң?
395	Нигэ сина картинка? Шалтыратып эйт, задрот тугелдер бит син	Нигә сиңа картинка? Шалтыратып әйт, уйлап эш йөртә торган адәм түгелдер бит син.
396	@user, претензий имеешь,пиши в личку..хули монда узенне эллэ кемгэ куймакчы буласын!!))	@user, претензияләрең булса, шәхси хәбәрләрдән яз. Монда үзеңне әллә кем итәргә тырышасыңмы?
397	ку...ак башлы динозавр  уйлап тапкан моны.татарлар андый тугел!!!	Бу әйберне ахмак кына уйлап тапкандыр. Татарлар андый түгел!
398	Пипец, нинди ЧП !!! Малай, машинага этне бэйлэп калдырыргадыр.	Пипец, нинди хәл! Малай, машинага этне бәйләп калдыру тугелдер бит?
399	Нэрсэ уйлыйсыгыз килэ шуны уйлагыз, дибиллар куп ул доньяда !	Нэрсэ уйлыйсыгыз килэ шуны уйлагыз, акыллы кешеләр күп ул доньяда!
400	Ну мин анлар идем, когда кеше булмаганда эйтсэлэр, дебилы!!!	Ну мин анлар идем, когда кеше булмаганда эйтсэлэр, аңлашылмый торган сүзләр әйтәләр!
401	@user, Сине еб*т мы ул, эйт менэ шуны?!	@user, Сине мы итеп күрсәтергә тырышалармы ул, эйт менэ шуны?!
402	@user, дорес эйтэсен!бары шлюхалар гына шулай эшли	@user, дорес эйтэсен! бары зинһар шулай эшли.
403	безне шлюха кебек йорисез дигэн буласыз э узегез жыен бабник!!!менэ юри купме кыз бн йоргэнегезне чутлап карагаз хэм комментариягэ языгыз!!!	безне оятсыз кебек йорисез дигэн буласыз, э узегез жыен хәйләче!!! менэ юри купме кыз бн йоргэнегезне чутлап карагаз хэм комментариягэ языгыз!!!
404	Ошаймы икэн утырмагыз на*уй мэжбури тугел бит!	Ошаймы икэн, утырмагыз инде, мэжбури эш тугел бит!
405	буген иртэн нинди ике дебил тышта шэрэ йогереп йори иде ул?!	буген иртэн нинди ике кеше тышта шэрэ йогереп йори иде ул?!
406	а ващпем актанышта яшьлэр бармы сон ул? быдлодан башка кэниш	а ващпем актанышта яшьлэр бармы сон ул? җитди кешеләрдән башка, эш белән.
407	Доньяда сволоч кешелэр куп!!! оятсызлар. Алар белэн дэ шулай булса нишлэрлэр микэн алар, э??!!!!	Доньяда усал кешеләр куп!!! оятсызлар. Алар белэн дэ шулай булса нишлэрлэр микэн алар, э??!!!!
408	“Кара әле син аны. Ул эштә, ә хатыны монда гыйшык-мыйшык уйнап ятамы? Ах кабахәтләр!”	“Кара әле син аны. Ул эштә, ә хатыны монда гыйшык-мыйшык уйнап ятамы? Ах алар бигрәк гадел түгел!”
409	Нәрсә карап каттыгыз, алыгыз бу шлюханы,туйны бозар өчен специально яллангандыр ул!	Нәрсә карап каттыгыз, алыгыз бу хатынны, туйны бозар өчен махсус яллангандыр ул!
410	Кутен сегелсен,жэллэп эйтуем тугел!!!!	Кутен кыйнасын, жәлләп әйтүем түгел!
411	вот сина мотиваторлар!!!!!    Жопу подними дигэннэр! Ешь мало дигэннэр!!! Сразу яшисенлэрен килеп киттеме??	Вот сиңа мотиваторлар! Артыңны күтәр, дигәннәр! Азрак аша, дигәннәр! Шунда ук яшисең килгәндәй булдымы?
412	ансы да бар инде. кызларга к...к, малайларга б...к кирак инде !!!	Ансы да бар инде. Кызларга игътибар, малайларга акыл кирәк инде!
413	уродка диеп инде аллах нинди бит биргэн бит!	Ямьсез диеп инде, Аллаһ нинди бит биргән бит!
414	лучше барып кайтасын,чем дибил справкасы алганчы!!!	Яхшысы барып кайтырсың, озак аптырап йөргәнче!
415	уф,нинди тупой эйберлэр язасыз сез,э?	Уф, нинди мәгънәсез әйберләр язасыз сез, ә?
416	Нык шэп кызны югалткансын бит син,ничек укенмэссен инде мона,придурок!	Нык шәп кызны югалткансың бит син, ничек үкенмисең инде моңа, ә?
417	вот придурок.кыз булып тусан,синдэ жэллисен аны!	Вот, мәзәк кенә кеше. Кыз булып тусаң, син дә жәлләр идең аны!
418	Булат, ты мне тож рот не затыкай тут кысылырга или юк яме	Булат, миңа да сүз әйтмә, синең кысылырга кирәкме-юкмы, яме!
419	вот актаныш халкы кабахат ул!!!	Актаныш халкын әзрәк тәнкыйтьләп карыйлар кайчак.
420	Экенренерэк этеп булмый микэн,  лучше урамга вообще кермэсен иде ялкау куршелэрнен урамга ыргыткан карын оядэ китэ ,оядэ китэ! Заебал!!!	Әкренрәк әтә алмыйлар микән? Бөтен урамга кар ташлауны туктатсыннар иде күршеләр, өйдә җыештырсыннар иде! Бигрәк уңайсыз булып китә!
421	Пи*ец блин, барыгыз да узенэ эйтегез эйтэсе рэхмэтегезне, сузегезне	Әйе, барыгыз да үзегез әйтегез рәхмәтләрегезне, теләкләрегезне.
422	ул хули нэрсэгэ язып торасын сон син аны?кеше колкесе.туерлык нэрсэ кургэнен бар сон синен!	Нәрсәгә син аны язып торасың соң? Кеше көлкесе булырлык, кызык әйбер күргәнең бар идеме соң?
423	\"Курэсызмы? Нигэдэр сезнен теория эшлями... Ул сойлэши нэрсэ ул быдло тугел.\"	Күрәсезме? Ни өчен сезнең теория эшләми... Ул сөйли торган кеше түгел.
424	Французский поцелуй дип атала ул, э телне авызга тыгу дип тугел ебнврт!)))	Французча үбешү дип атала ул, телне авызга тыгу түгел, әлбәттә!))
425	Купме сатырга була инде ул тэгэрмэчлэрне,э? Заебали,честно!	Күпме сату мөмкин инде ул тәгәрмәчләрне, ә? Честно әйткәндә, туйдырды инде.
426	Актанышта кем матовый кара тостэге бмвда йори ул?блин,он ох*енен)чувак,береги его;)	Актанышта кем кара төстәге матовый БМВда йөри икән? Бигрәк текә егет, саклап йөрт аны!
427	болары идиоткалар бит...идиотлар йорми дорес!!))паахах	Болары, әйтергә кирәк, әзрәк аңсызрак кеше шикелле... Тик алар йөрми дөрес юлдан!)) Көлдереп җибәрә!
428	ул тапкан кешедэ сина шул ук гугл или яндекстан карап язып бирэ бит инде епутпаймайть жан	Тапкан кеше дә сиңа шул ук Google яки Yandex ярдәме белән карап язган бит инде.
429	Куткэ типкэн иде даже кесэдэге ачкыч та кэкерэйгэн иде!	Куткэ типкэн иде даже кесэдэге ачкыч та авырсынып торган иде!
430	ахырга кадэр укып бетерэ алмадым!!!!! монда утыручыларнын кубесенен баш миендэ ниндидер сэбэплэр аркасында соры матдэ житми	Ахырга кадэр укып бетерэ алмадым!!!!! Монда утыручыларнын кубесенен баш миендэ ниндидер сэбэплэр аркасында житмэкэн кебек.
431	Актанышта шул кеше чэйнэудэн башка берни белмилэр ахрысы.	Актанышта шул кеше сөйләшүдән башка берни белмилэр ахрысы.
432	Кеше бэхетендэ узеннекен този алмыйсын!анламыйм шундый хатыннарны,наверное они дурыыыыы.	Кеше бэхетендэ узеннекен өзүен белмисен! Анламыйм шундый хатыннарны, алар, бәлки, бик аңлашылып бетми торгандыр.
433	кем эйтмешли, х_йня ул-тазалык булсын!)	Кем эйтмешли, вак-төяк нәрсәләр турында сүз алып бару — тазалык булсын!
434	Монда елмаю тугел астына Т...п качарсын!	Монда елмаю тугел астына чыгу юлларын эзлисен!
435	актанышта кызларны обсирать итмэгэн берэр \"егет\" жаны бармы ул?:)	Актанышта кызларны телгә алмаган берәр егет бармы ул?:)
436	Бар даже кызлар пацан не вьебаемый вариантка баскан	Бар, даже кызлар пацанга игътибарсызрак вариантка баскан.
437	нацистлар алар зәңгәрләр кебек!шул эшләрен генә эшли беләләр!	Нацистлар алар зәңгәрләр кебек! Шул эшләрен генә эшли беләләр!
438	Дурак булырга кирэк бу яштэ ойлэнергэ!!!	Яшүсмер чакта уйламыйча эшләү гадәте кирәк, мөгаен, бу яшьтә өйләнергә!
439	бер дэ килешми егет кешегэ болай итеп манка агызып утыру! так и хочется сказать \"соберись, тряпка!\" 	Бер дә килешми егет кешегә болай итеп йомшаклык күрсәтеп утыру! Так и хочется әйтергә: Җыелып ал инде, егет!
440	Реально, нинди туфта нагонять итә башладыгыз сез?! Минемчә бу уже дибилизм	Реально, нинди мәгънәсезлек турында сөйли башладыгыз сез?! Минемчә бу, әлбәттә, артык примитив фикерләү.
441	@user, вот ппц вы...мин лучше знаю спорить итеп утырмагыз эле!!! Эйтеп торам бит мин гел кайтам мослимгэ и яттан белэм ботен юлларны!!!	@user, сез...мин яхшырак беләм, бәхәсләшеп утырмагыз әле!!! Әйтеп торам бит, гел Мөслимгә кайтам һәм бөтен юлларны яттан беләм!!!
442	ничек шундый кеше матур булсын инде. и главное, нафига те пьяница?!	Ничек шундый кеше чибәр булсын инде. И главное, ни өчен син үзеңне тәртипкә китерергә теләмисең?!
443	ну значит егетлэр узегез фахишэлэрне свиданиягэ чакырасыз))нормальный кыз янында йорегез!!	Ну, димәк, егетләр, үзегез җитди булмаган кызларны очрашуга чакырасыз. Тыйнак һәм акыллы кызлар белән аралашыгыз!
444	“Бетте!” – дип сөенмә, тиран!	“Бетте!” – дип сөенмә, катгый кеше!
445	\"крымнаш\"истлар фикерләрне бетерәләр. оятсызлар!	Крымнашистлар фикерләрне бетерәләр. Бу, әлбәттә, урынсыз!
446	кызлар, ну нигэ сез шулай итеп убешеп фотога тошэсез??? ярар эле лесбианкалар булсагыз, тик сез сезгэ лесбианка дип эйткэч ачуыгыз чыга, матур тугел бит ул!!!! шакшылар!!	Кызлар, ну, ни өчен сез шулай итеп үбешеп фотога төшәсез? Ярар, сез башка карашлы кешеләр булсагыз, ләкин сезгә шуны әйткәч, үпкәлисез. Матур күренми бит ул!
447	улэсе кеше сорап тормый, тота да улэ ул, дуры!	Үләсе кеше сорап тормый, тота да китә ул бары тик үз юлы белән.
448	Дурак мы сон син ?! кемгэ хатын диеп эйттен сон?	Шаяртуымы бу синең?! Кемгә хатын дип әйттең соң?
449	Гел керегез, поступать итегез(заебали уже)!!!	Гел керегез, поступать итегез. Гел эшләрегезне күрсәтегез инде!
450	охшаш тугел нифигада!кеше бн хайванны охшатып утырмагыз инде монда!	Охшаш түгел бер дә! Кеше белән хайванны чагыштыру дөрес түгел монда!
451	ж,унле ответ котэсенме?эйтэм мин сина аны.дура син белденме!кеше бэхетен аласын!	Җ, уңайлы җавап көтәсеңме? Әйтәм сиңа аны. Әле син белдеңме! Кеше бәхетенә зыян китерәсең син!
452	чынлап яратмый ул сине, яратса китмэс иде аннан нинди эти кеше була алсын, хайван ул !	Чынлап яратмый ул сине, яратса китмәс иде. Әти кешегә андый холык килешми, дөнья белән килешми торган кеше ул!
453	Минем авызны ябырга кем булдын эле???	Минем авызны ябырга синең хакың бармы соң әле??
454	Актаныш гаишниклары вообще оборзеть итэ башлаганнар почмак саен басып торалар	Актанышның юл хәрәкәте хезмәткәрләре үз эшләрендә артык кырысланып киттеләр, һәр почмакта басып торалар.
455	блин,ошамаса карамагыз инде тэмаам!!!!	Блин, ошамаса карамагыз инде, бу тема сезнең өчен түгел!
456	Турслетта бер *уй кызларга бэйлэнеп йоргэн, шул егетне языгыз эле пож.  кем исемле?	Туристик чара вакытында кемдер кызлар белән артык дуслашып йөргән, шул егетнең исемен языгыз әле, кем икән ул?
457	Тэмэке тарта торган кызлар - фахишэ!!!	Тәмәке тарта торган кызларга мондый гадәт килешми!
458	Нигә соң сез рәхәтләнеп авыз тутырып татарча сөйләшмисез???	Нигә соң сез рәхәтләнеп, ихлас күңелдән татарча сөйләшмисез?
459	ой блэээ.. не знаешь тыр инде!	ой, белмисең инде, беләсең бит!
460	Татар түгел димә - башың ватармын!	Татар түгел димә - әйтеп аңлатырмын!
461	Синен башын эшли мы? Мин башламадым, эммэ Ислам дине безнен миллэтэбезгэ сенгэн! Мин айттем яхудлэр Палестинадагы мосельманнарны утерэляр	Синең башың эшлиме? Мин башламадым, әмма Ислам дине безнең милләтебезгә сеңгән! Мин әйттем, яһүдләр Палестинадагы мөселманнарны эзәрлеклиләр.
462	ооо минем братан!!! миндэ дэ шулай гына язылган, хрен поймешь. Эле узем дэ бутала башладым кем икэнен белмим :D	ооо, минем дустым!!! Миндә дә шулай гына язылган, аңлап булмый. Үзем дә бутала башладым, кем икәнен белмим :D
463	- Убырлы карчык дидем мин сиңа, ишетмисең дә мени?! Юньләп киенә белмисең, кеше арасында үзеңне тота белмисең, аралашмыйсың, җен карчыгы кебек бер почмакта утырасың! Менә шул!	- Үпкәлим дидем мин сиңа, ишетмисең дә мени?! Юньләп киенә белмисең, кеше арасында үзеңне тота белмисең, аралашмыйсың, үз эчеңә бикләнеп бер почмакта утырасың! Менә шул!
464	агар минем песи шулай карап торса , башын тоер идем.))	Әгәр минем песи шулай карап торса, ләкин үчләшмәс идем.))
465	Мина наезд ясау кирэкми монда, просто язганда ни язганыгызны уйлап языгыз яппашмайтьлар!	Миңа гөнаһлы сүз әйтергә кирәкми монда, язганда ни язганыгызны уйлап языгыз.
466	Егетлэр андый манкортларга тел арам итмагез!	Егетләр, андыйлар белән вакыт әрәм итмәгез!
467	Тора бара ул аракы эчеп, йоз нурын югалтып, чучка итен ашап урыс балалары устерэчэк купме сойлэсэн дэ!	Тора бара ул аракы эчеп, йөз нурын югалтып, чит балалар үстерәчәкме әллә? Күпме сөйләсәң дә!
468	шуларнын купчелеге гел выебываться итэлэр!!	Шуларның күпчелеге гел күтәрелеп йөриләр.
469	Пехота дип колдермэ, ул пехотаны беспилотнык бн бомбить итмичэ хуй сугыша сша	Пехота дип көлдермә, ул пехотаны беспилотник белән бомба атмыйча сугыша алмый.
470	Мин чалбар эченнэн подштанник киям и эле алай да кутем ката! Шаккатам бу кызларга))	Мин чалбар эченә подштанник киям, әле шулай да өшемим! Шаккатам бу кызларга))
471	алар гайлэ бутаучы хэсис гайбэтчелэр!!!кутак та белмилэр алар!	Алар гаилә бутарга яратучы гайбәтчеләр!!! Бернәрсә дә белмиләр алар!
472	чып чын тиле пост !!!	Чып-чын тиле пост!!!
473	и вообще манкасы кипмэгэн кызларны алып атын,тормыш кургэн кешедэй сойлэнеп утыралар!!!	Гомумән, дөнья күрмәгән кешеләрне башкаларга өйрәтеп утыралар!!!
474	Сатучыларны, магазиннын хужасын, санэпидларны сук! Пиздец инде син...	Сатучыларны, магазинның хуҗасын, санитарларны шелтәлә! Җитте инде, син...
475	Гел немесларны яклап язгансын бит, иди пиздуй немесларын янына!	Гел немецларны яклап язгансың бит, немецларың янына кит тә яшә!
476	сезгэ похуй тугелме мин нэрсэ,кемгэ язам.ошамый икэн укымагыз,коментлар язмагыз!!!!	Сезгә барыбер түгелме, мин нәрсә, кемгә язам. Ошамаган булса, укымагыз, комментарий язмагыз!
477	анлыйм шутка шутка инде,но бл..ть серъезный постта да нигэ нэрсэдер возникать итэргэ...	Анлыйм, шаярту-шаярту инде, тик җитди постта ни өчен шундый сүз башларга...
478	Кеше кулы белән кеше тукмама, иблис!	Кеше кулы белән кеше кыйнама, явыз!
479	атам да утерэм лиж бы кермэ жаныма уз презикбелэн	Атам да утерэм лиж бы кермэ жаныма үз әйберең белән, лиж бы саклану чарасы белән.
480	Тупойский сороу бирэлэр : Иртэгэ нэрсэдэн пробный гиа ул??? Как будто шуны белми!	Гади генә сорау бирәләр: Иртэгэ нәрсәдән пробный гиа ул??? Как будто шуны белми!
481	Бер хатын гажет куеп беренче этажа бер кв-ра ишек тобенэ тычып китэ икэн.	Бер хатын гадәтенчә беренче этаждагы бер квартира ишек төбенә начар нәрсә калдырып китә икән.
482	Хозяйка жекэ барып эйткэн,анан кунагыбыз хатын барып кв-рага саклап торып,теге тычкак хатынын битенэ теге букны сылыган.	Хозяйка жилкомхозга барып әйткән, аннары кунагыбыз хатын квартирага саклап торып, теге начар эшләгән хатынның битенә шул әйберне сылаган.
483	Ул егетнен кукэй шарикларын ишеккэ кысасы бар!	Ул егетнең кыланышы ишеккә бик начар нәрсә кысасы бар кебек!
484	Татар егетләре була торып,оялмыйча урысча язалар,кара инде син моны!!!кит индеее	Татар егетләре була торып, оялмыйча урысча язышалар, кара әле моны!!! Кит индеее.
485	Ния бу группанын авасында гел песи тора ул? Ул дурацки песилэрне куймагыз эле зинхар очен? Женем сойми ул песилэрне.	Ни өчен бу группаның авасында гел песи тора ул? Ул кызыксыз песиләрне куймагыз эле, зинхар өчен? Жаным яратмый ул песиләрне.
486	Усыра Усыра контакта утырам белэт!!	Үзалдына уйланып, Контакта утырам, беләсезме!
487	Кем кемне сектерер икән ул сине ме илисин аны мы?! моны туйдан соң белсәң генә...:DDD	Кем кемне җиңәр икән ул – син анымы, әллә ул сине? Моның туйдан соң гына беленер... :DDD
488	Син нинди вопрос язганынны кузен курэме ул?тупой вопрослар язып ятма	Син нинди сорау язганыңны күзең күрәме ул? Аңлашылмаган сораулар язып утырма.
489	Таза кызларны сегергэ яратмыйм инде блээ фуэ!	Таза кызларны ошатмыйм инде, бу минем өчен түгел!
490	кукэен катыр бу суыкта!!!	Күз алдына китер бу суыкта ничек катасың!
491	ул песилэрнен хужаларын узлэрен банкы эченэ тыгып куярга кирэк!!! От сволачлар!!	Ул песилэрнең хуҗаларын тәртипкә чакырырга кирәк!!! Соравлар күп!
492	@user, \"урыс бугын ашаган\" - бездэ сине кебек кешлэргэ шулай этэлэр. Жертва зомбоящика	@user, урысча сөйләшергә мәҗбүр булган - бездә сине кебекләргә шулай әйтәләр. Заманның кырыс тәрбиясе.
493	Әнә фахишәләр группасына кереп ата-ана динен мыскыл итеп-дан казаныгыз-Аллаһы тәгаләдән курыкмасагыз!!!	Әнә шул төркемгә кереп, ата-ана динен хөрмәт итмичә дан казанасыз - Аллаһы тәгаләдән оялмыйсызмы!
494	зинһар очен  Татарча язсан татарча  яз, ә  русча  язсан русча яз...	Зинһар өчен, татарча язсаң — ачык, русча язсаң — шулай ук!
495	Борис Ельсин алкаш таратты Россияне сатты эчте, Путин анын артыннан купме тырышты , бастырды тырыша хэм тырачакта!	Борис Ельцин илне үзгәртте, күп хаталар да эшләде, ә Путин аның артыннан күп тырышлык куйды, һәм әле дә эшли!
496	Тьфу тебя, гыйбрэт!Сина машинасы кирэкми, акчасы кирэк анын!	Тфү, гыйбрәт! Машинаны алып җиренә җиткерер өчен көч тә, акча да кирәк!
497	Тимур, ботен кызларда андый исэр тугелбит,хэр бер егетенэ бирергэ!!!	Тимур, бөтен кызлар да андый җиңел акыллы түгел, һәр егеткә үзенчә хөрмәт күрсәтә!
498	Ахах  куркыта гына ул!! Не ссы маруся	Ахах, ул бары куркытамыни? Борчылма, барысы да яхшы булыр!
499	Мда,манкортлар жыела башлады!	Мда, начар гадәтләрне яклаучылар жыела башлады!
500	ужас мондый кукушкага бала тугел песи дэ бирергэ ярамый!	Ужас, мондый җавапсыз кешегә бала түгел, хәтта песи дә бирергә ярамый!
501	Наобарот мужиклар сатып ала аны,укымыйча да даже,ума не хватает уз башы бн бирергэ!	Наоборот, ир-атлар сатып ала аны, укып та тормыйча, башлары белән уйлап тормыйча!
502	Уффф...задолбали инде!!монын бн танышасым килэ, тегенен бн!	Уффф... арыттылар инде! Берсе белән танышасым килә, икенчесе белән!
503	ул усырмасыннар очен каплаган!!!))	Ул начар әйберләрнең таралмавы өчен каплаган!!!
504	какие мишары, ВАДИМ?- әлдә урыстан сраганыбыз юк кемне кәрдәш итеп санарга! кит бар моннан,  колакка керми торган сүзләр сөйләмә!!	Нинди мишәрләр, Вадим? Әллә урыстан сорарга калган кемне кардәш итеп санарга! Кит моннан, колакка ят сүзләр сөйләмә!
505	Иии, шайтан алгыры.Кайда йөрдең син чукынчык т-ре? !	Иии, шайтан котыртканы! Кайда йөрдең син шуның кадәр ялкауланып?
506	электэн кучеп килгэн ике баланын берсенеке юкка чыга. экэмээээээт. туземлек калмады.	Элек күчеп килгән ике баланың берсенең эзе юкка чыга. Их, туземлек калмады.
507	ай элек секкэн идем бер тазаны калтырый калтырый кочкэ берне куйдым!мин эйтэм бутэн лыкын булсам да менмим нах остенэ:-Dанон инде конечно братуха	Бер ай элек бер таза кешегә ярдәм итмәкче булган идем. Калтырый-калтырый көч-хәл белән берне эшләдем! Мин әйтәм, бүтән алай булсам да йөрмим!
508	мин эйтэм бутэн лыкын булсам да менмим нах остенэ:-D	Мин әйтәм, бүтән әгәр дә бу хәл булса, өстенә басмыйм!
509	Минем белэн бер булмэдэ яшэуче кыз улеп Земфираны ярата. Э мин аны курэалмыыыыыйм!!! фууууу.  ничек компрамисс табарга сон, ээ??!	Минем белән бер бүлмәдә яшәүче кыз Земфираны бик ярата. Ә мин аны җене сөймим!!! Ничек итеп компромисс табарга соң, ә??!
510	бу группа телэсэ нэрсэ язуда берэр кайчан туктыйлармы ул???бесит инде	Бу группа теләсә нәрсә язып туктармы икән соң??? Ару китерә инде.
511	бер белмэгэн кеше бн сп да куя башласан индеее...))	Бер белмәгән кеше белән социаль челтәрләргә фотолар куя башладың индеее...))
512	так то мишэр белэн татарларнын аермасы юк, болный бред что мишэрлэр татарларны яратмыйлар, син даже не сможешь различить кайсы кеше татар кайсысы мишэр !!!	Чынлыкта мишәрләр белән татарларның аермасы юк, әллә нинди сүзләр сөйләгәннәре кызык кына, чөнки кемнең татар, кемнең мишәр икәнен дә аңлый алмассың!
513	“кукиш” күрсәтте дә, ишеген шартлап ябып, эчке яктан шкаф белән терәтеп куйды.	“Күңелле ишарә” күрсәтте дә, ишеген шарт ябып, эчке яктан шкаф белән терәтеп куйды.
514	Р.S.насчет ресторана,фигня,ничэ гасыр торган яшел стеналары гына да ни тора,фу!	P.S. ресторан турында әйтсәк, әлләни тыйнак түгел, күптән торган яшел диварлары гына ни тора!
515	Эй халык!эйтегез эле! сез нинди химия тарттыгыз?кеше сездэн ярдэм сорый э сез наркоманнар кебек жавап бирэсез	Эй, җәмәгать! Сез нәрсә, әллә нинди зарарлы әйберләр кулландыгызмы? Кеше сездән ярдәм сорый, сез исә җитди җавап бирмичә шаярып җаваплыйсыз.
516	мин бик каты аптырыйм авылдан казанга килгәч татарлар татарлар белән урыс телендә сөйләшә!ятсызлар.)	Мин бик гаҗәпләнәм: авылдан Казанга килгәч, татарлар үзара рус телендә сөйләшәләр! Бу бит сәер күренеш.
517	@user, тортеп курсэт эле мина кайда мин сина язма дип эйттем? пластинканны алмаштыр. Хоббиларымнын берсе дигэнсен, э хаман бер балык башы чэйнисен.)	@user, күрсәт әле миңа, кайда мин сиңа язмаска дип әйттем? Үз сүзләреңне еш кабатлыйсың. Чыннан да, хоббиларымның берсе дип саныйсың икән, әмма һаман шул ук мәсьәләне кагасыз.
518	Урыс группысы белэт, аудиозапись ка кердем лев лещенко, кая карама урысча язылган, татар мени сез??? Сез имансыз лар, мин китэм бу торкеннэн, аллахетэгэлэ дэн курыкмыйсыз да!!!	Урыс төркеме булып чыккан, аудиоязмалар арасында Лев Лещенко бар, кая карама русча язылган, татар теленә ни җитми?! Мин бу төркемнән китәм, Аллаһы Тәгаләдән курыкмыйча эш йөртәсез.
519	Менэ шулай-урыска узенен референдумыгына референдум-безнекенэ алар тэкорэлэр.	Менэ шулай-урыска узенен референдумыгына референдум-безнекенэ алар кыюланып каршы чыгалар.
520	Оой,актанышлар уз репертуарында инде,икенче торле группалардан записьлэр копировать итеп куялар!узегез уйлап 2 жомлэ язалмыйсыз мени?гыйбрэт	Оой, Актанышлар уз репертуарында инде, икенче төрле группалардан язмалар алып урнаштыралар! Үзегез уйлап ике җөмлә яза алмыйсызмыни? Гыйбрәт.
521	Бле народ ботен универсамны обошел бержирдэдэ куренми кальянга травка.Кайсы кабинкада сон ул?	Халык бөтен универсамны әйләнеп чыктым, кальянга кирәкле әйберне күрәсем килмәде. Кайда булырга мөмкин?
522	Фоторәсемгә төшерү... ....танышу кирәк блин!!!!.(татар малайларга )	Фоторәсемгә төшерү өчен... танышу кирәк... татар малайлар белән аралашып карыйсы иде.
