ID	toxic_elem	non_toxic_elem
492	Кароч сузлэре уземнеке минусын спиздил, жырнын тулысын тынларга була, но аларны тынлап булмый автор жырлый башлаганнан сон хэм бу вообще кызык тугел	Кароч сузлэре минусын спиздил, жырнын тулысын тынларга була, но аларны тынлап булмый автор жырлый сон хэм вообще
493	Бэтэгенэ приключения эзлэмэсэн иде син.	приключения эзлэмэсэн
494	Кермэ блэт кеше арасына	
495	2ай,нихуя кочле мэхэббэтегез	2ай,нихуя мэхэббэтегез
496	Шулай итеп блэтлеккэ чыгалар да инде))))	итеп блэтлеккэ чыгалар да
497	Берэр спорга кереп китсэн башлана инде, син пиздюшка авызынны яп, бла бла бла, уз яшенэ  купне белгэн, кургэн сыман	спорга кереп китсэн башлана авызынны яп, бла бла бла, яшенэ купне белгэн, кургэн сыман
498	блэт минем сонгы арада тош тэ кургэнем юк	минем сонгы арада тош тэ кургэнем
499	мине калдыра курмэгез тагы, блэт_)))	мине калдыра курмэгез тагы,
500	Денис, 6 Яшь дияргэ иден,тогда ышаныр иде  ссукан))	Денис, 6 Яшь дияргэ иден,тогда ышаныр
501	Эш эш эш блэт)	Эш эш эш
502	Урамдагы пиздюклардан башлап кызларга хэтле гопота.	Урамдагы хэтле гопота.
503	йшекне яп блэт !	йшекне яп !
504	Сабантуй закончился,блэт кайчан экзаменнарыгыз бетэр инде.	Сабантуй закончился,блэт кайчан экзаменнарыгыз бетэр
505	7дэ жыелалар дигэн иде,нихуяда кеше юк иде,колгэн очон пизды бирмилэр.	7дэ жыелалар дигэн иде,нихуяда иде,колгэн очон бирмилэр.
506	блэт,соенеп куйган идем инде сине курмим дип)булмады инде)	блэт,соенеп курмим дип)булмады
507	Вот блэт, мин бит шэхэр баласы мин монда мунча курмим бит))	Вот мин шэхэр баласы мин мунча курмим
508	Бу машина хатын кызданда куп сорый бер айда ботенесе тералде май алыштыр тэгэрмэч ал страховка йоргэн кыз нихуя анламый(((	машина кызданда сорый бер айда ботенесе тералде май алыштыр тэгэрмэч ал страховка нихуя анламый(((
509	Ана калса, мин пиздатый жырчы)) яздыра башлыйм эле блэ)))	Ана калса, мин пиздатый жырчы)) яздыра эле
510	Белмэгэн килеш,эттем сектем язып утырмагыз монда	Белмэгэн килеш,эттем язып
511	егет кеше уйлый аннары эшли- кыз кеше баштан эшли аннары уйлый нахрен мин шулай эшлэдем дип)))	аннары эшли- баштан эшли аннары мин эшлэдем дип)))
512	маймыл куте,мин дэ сине яратам)	куте,мин дэ яратам)
513	халляр ат сегэрлек буй гына житмей)	халляр ат сегэрлек буй житмей)
514	Эх сез матур кызлар ёбаный шалавылар...	Эх сез матур ёбаный шалавылар...
515	Эчми торган маймыл бн эчэ торганны ничек аерып була...непутевый коментларыгызны Котеп,эчми торган адэм	Эчми торган бн эчэ торганны ничек аерып була...непутевый коментларыгызны Котеп,эчми торган адэм
516	Бар,сэбэбе сине сегэргэ тиеш тугел,маймыл	Бар,сэбэбе сегэргэ тиеш тугел,маймыл
517	Язылган бит "эктем сектем попсушникларнын сайты тугел"	Язылган "эктем сайты
518	Бары тотып сегэчэк лучше кач !!!)))	Бары тотып сегэчэк лучше кач !!!)))
519	себерке сойлэшми бит ул	себерке
520	Сез егетляр берраз гына буталдыгыз, нинди оч сегэ? алты!)	Сез берраз буталдыгыз, нинди оч сегэ? алты!)
521	хэ язам инде тутырып,бирэлэр тучны  телефон тотмый сцук     	хэ язам тутырып,бирэлэр тучны телефон тотмый
522	ат сегэр иде буе гына житмэй))	ат сегэр буе житмэй))
523	Ятып йокларга нахрен	Ятып йокларга
524	уземэ инде 25 яшь(егет кеше) но блин акыл не хрена да юк....	уземэ 25 яшь(егет но акыл не да
525	бу яшьтэ эзерэк житди булырга кирэк икэнен анлыйм...но хаман да тиле сатып йорудэн туктамыйм=)))	яшьтэ житди булырга кирэк икэнен анлыйм...но да тиле сатып йорудэн туктамыйм=)))
526	Ильдар дорес язды, шалава…	Ильдар дорес язды, шалава…
527	Монда янгыр тугел кут пешэ)	янгыр кут пешэ)
528	шулай була ул егетен булмаса,маймылга кучэсен)))))))))))))	була булмаса,маймылга кучэсен)))))))))))))
529	Адаш сегэсен син	Адаш
530	Тоне буе эктем-сектем йоргэн кызлардан остенрэк курэм.	Тоне буе эктем-сектем остенрэк курэм.
531	Группадагы язулар ошамый икән тогда нахрена монда подписались??? 	Группадагы язулар икән тогда подписались???
532	Эттем-сектем эйберлэр язмагыз, бик кирэк иде)	Эттем-сектем эйберлэр бик кирэк
533	Иии жыен юк бар очен мозга сегэсез)	Иии бар мозга сегэсез)
534	Баргач аларны сегэлэр ди	Баргач аларны сегэлэр ди
535	Егетлэргэ сорау: "Кыз очен кут жырту!" андый понятия бармы ул?	сорау: кут жырту!" андый понятия бармы
536	ул кадэрле тупой сорау бирмэгез инде....	кадэрле сорау бирмэгез
537	тупость реально, кайчакта кызык	тупость реально, кайчакта
538	Менэ хэзер кут тобенэ килеп терэлгэч бер эйбер дэ белмибез.	Менэ хэзер кут тобенэ терэлгэч бер эйбер дэ белмибез.
539	директор ебаный дип эйтэлэр анда, подслушано мед.колледж дигэн группа тозегэн очен кутлэрен с##кэн.	директор дип эйтэлэр анда, подслушано мед.колледж дигэн группа тозегэн кутлэрен с##кэн.
540	урыс эйтмешли, какая х.й разница,главное минем язганны анладылар,э хата это ху...ня =)	какая разница,главное минем язганны анладылар,э хата это =)
541	акча очен кут жыртып китеп барган бит) авылдашларга концерт курсэтмичэ	кут жыртып барган авылдашларга концерт курсэтмичэ
542	кут белэн уйлауны туктатасы	кут белэн уйлауны туктатасы
543	мин как обычно, сонга калдым инде, кут битен генэ убеп алсам да житэ))	мин как обычно, сонга калдым кут битен генэ алсам да
544	егетлэр каршысында, кут селкеп йорисе юк эле:)	каршысында, кут селкеп йорисе эле:)
545	Э  нигэ сразу кут катырырга?	Э сразу кут
546	жайлыда инде Хэзер интернет булгач, кут ошетеп йорисе юк кызлар эзлэп  урамда))	жайлыда Хэзер интернет булгач, кут ошетеп йорисе эзлэп урамда))
547	Мин тоже сорыйм эле: кеше тычкач кут кыза	Мин тоже сорыйм эле: кут
548	кут катмасын очен яхшы киенергэ кирэк инде))	кут катмасын яхшы киенергэ кирэк
549	Урыс кутагым))	
550	Алыгыз ,ишетмисезме әллә,теләсә кая куегыз бу дураны!	әллә,теләсә кая
551	сон син аларга гел кут белэн борыласындыр.	сон гел кут белэн борыласындыр.
552	Бар да яхшы,тик кут ката	Бар да яхшы,тик кут ката
553	Чаевой очен,кут селкеп йору килешми	Чаевой очен,кут селкеп йору килешми
554	Ник кут ертасын алар очен, эллэ узен дэ шул шарагада эшлисен?	Ник кут ертасын дэ шарагада эшлисен?
555	Сунын жылылыгы 19 градус,ул кут катырыр очен менэ дигэн сузме инде?)	Сунын жылылыгы 19 градус,ул кут менэ дигэн сузме
556	Авылда кут ката хазер, шэхэрендэ генэ ят инде)))))))))))))	Авылда кут ката хазер, шэхэрендэ генэ
557	минемча , ничек тэ булмаса , тэлэге де булса , булай киенсэлэр ул эйбэтрек инде , ачык кут белэн йоргенче ... ))	минемча , ничек тэ булмаса , тэлэге де булса , киенсэлэр эйбэтрек , кут белэн йоргенче ... ))
558	кут катырыргамы?)	кут катырыргамы?)
559	Ах зарлардан туйган кунел ала блэззэт...	зарлардан туйган кунел ала блэззэт...
560	Кызларга:сез, кутагыма ябыгам дип чабасыз?	Кызларга:сез, ябыгам дип чабасыз?
561	Мэгьнэле жырламагач кутагыма жырлап йори мени,син шул селэгэенне агызып йорисен инде шунда	Мэгьнэле жырламагач йори мени,син селэгэенне агызып йорисен шунда
562	кутагыма сугенэсенмэ сон алайса?)	сугенэсенмэ сон алайса?)
563	Урыс кутагымнан белсенме татарча	белсенме
564	кутагым кутэрелде кэеф юк	кутэрелде кэеф
565	тикшерэ,кутагы торганлыгын)	тикшерэ,кутагы торганлыгын)
566	Ник кутагым татар бит без	Ник без
567	эй кутагым анда упкэли торган эйбер дэ юк бит)))	анда упкэли торган эйбер дэ
568	АКШнын узлэренен кысылмаган жирлэре юк,кутлэрен кысып тик ятсыннар	АКШнын узлэренен кысылмаган жирлэре юк,кутлэрен кысып тик ятсыннар
569	ни кутагыма русча язасыз узегез урыслашу турында?	ни язасыз турында?
570	сөйләшегез татарча хәм сегенмәгез урыслар арасында сытык кукәйләр кебек!)	сөйләшегез хәм сегенмәгез сытык кукәйләр
571	Кайгы кутагым	Кайгы
572	Иначе кута**ыма өйләнергәме	Иначе өйләнергәме
573	Ул ирлэрне ничек кутлэренэ утыртырга индэ?	ирлэрне ничек утыртырга индэ?
574	Прям эниен"улым кутагына жон чыкмаган"эле  диме???	Прям эниен"улым жон чыкмаган"эле диме???
575	Рамис кутенне алай кыздырма!	Рамис кыздырма!
576	Була кутагым мин хэр елны шулай каршы алам :)))	Була мин хэр елны алам :)))
577	кутенне кысып кына утыр	кысып кына
578	жэхэннэм кутендэ каян салыйм ди уземада сала алмыйм	жэхэннэм каян салыйм ди уземада сала алмыйм
579	Алар кутагым опг опг дип  кычкырып кына утыра белэлэр	опг опг дип кына белэлэр
580	канишны, кутагым, авыртсам эни орыша аннары_)))	канишны, эни орыша аннары_)))
581	И кутагым кутагым...)))	И
582	бер-беренэ ышанмагач ни кутагыма йорисез сон сез?)	бер-беренэ ышанмагач ни йорисез сон сез?)
583	Борчылма кутлэрен Дамир Амиреч сегэ аларнын , янган саламнары очен!!!!))))	Борчылма кутлэрен Дамир Амиреч сегэ аларнын , янган саламнары
584	Мунчада шпили вили уйнаганнар	Мунчада шпили вили уйнаганнар
585	хатыны булсада,кутагы сулга карый)	булсада,кутагы
586	кутлэрен сегэр идем	кутлэрен сегэр
587	Мин дустым алай итсэ, дустымнын кутен сегеп машинадан егып тошерер идем!	Мин дустым итсэ, дустымнын машинадан егып
588	Абыен шулай дэвам итсэ, сегеп тэ атырлар, анын Куз алдында!	Абыен дэвам итсэ, тэ анын алдында!
589	кутагыма кирак алдан ук билгеле була инде ул	кирак билгеле була
590	Нэрсэ тычкаклайсыз эллэ??))	тычкаклайсыз
591	тычмаган куткэ,бук ябешмэй	куткэ,бук ябешмэй
592	Кит кутагым мина бабник булырга эле мина 12 генэ яшь	мина булырга эле мина 12 генэ яшь
593	шэхэрдэ кутагым 80%кеше зарплатадан зарплатага яши,квартплата,бензин!!	шэхэрдэ зарплатадан зарплатага яши,квартплата,бензин!!
594	Әй, ахмаклар, аның нәрсәсе җирәнеч?	Әй, аның нәрсәсе җирәнеч?
595	яхшы татарлар хэзер эз хэм алар эллэ нинди маржаларга илэнэр.	яхшы хэзер эз хэм нинди илэнэр.
596	читкэрэк киттек, и бу кыз сумкасыннан ике бутылка Ледоф чыгарды, берсен ачты, очтэн берен авызыннан гына залпом эчте,кил эле монда дип минем башны иснэде икенче бутылканы мина суза..честно говоря мин охуел...)	читкэрэк киттек, и сумкасыннан ике бутылка Ледоф чыгарды, берсен ачты, очтэн берен авызыннан залпом эчте,кил эле дип минем икенче бутылканы мина суза..честно говоря мин охуел...)
597	Но блять энилэр алып кайтып китте т к апай икенче авылдан иде.	Но кайтып китте т к апай икенче авылдан
598	Әнә, бер катнаш туйда марҗа кодагый үзенекеләр белән таныштыру вакытында “деверь, шурин, свояченица, сношеница”ларын тәмам бутап бетерде.	Әнә, бер катнаш туйда кодагый үзенекеләр белән таныштыру вакытында “деверь, шурин, свояченица, сношеница”ларын тәмам бутап бетерде.
599	Бер марҗа хатыны малаен йөртте миңа.	Бер йөртте миңа.
600	Тулке менэ дуртенчегэ генэ менеп булмый, ни хуя!	Тулке менэ дуртенчегэ генэ менеп булмый, ни хуя!
601	эммэдэ лэкин бер оч ел элек шуны белдем кем миннэн колгэн аларнын тормышы хренова икэнен.	эммэдэ лэкин бер оч ел элек белдем кем миннэн колгэн аларнын тормышы хренова икэнен.
602	Сездэ барыгыз Шэбезбашка,ахуенно анда!!!	Шэбезбашка,ахуенно анда!!!
603	Ишекне бер карт марҗа ачты һәм кемне эзләп килүемне әйткәч	Ишекне бер ачты һәм кемне эзләп килүемне әйткәч
604	Әйтик, берәр үзгә кеше, берәр марҗа булса, ире күмелгән кабер түмгәген кочаклап, кычкырып бер елаган булыр иде, ләкин Надия аңа бармады, шулвакыт җанына шулхәтле читен булса да, ул тын торды, эченнән генә елады.	Әйтик, берәр үзгә берәр булса, ире күмелгән кабер түмгәген кочаклап, бер елаган булыр ләкин Надия аңа бармады, шулвакыт җанына шулхәтле читен булса да, торды, эченнән елады.
605	Шунда аларнын шпили-вили булды.	Шунда аларнын шпили-вили
606	– Сыра заводына технорук булып килгән менә дигән марҗага өйләндем!	– заводына технорук булып килгән менә дигән өйләндем!
607	Мин үзем мәсәлән шулай итәм, әле бер марҗаның да, яки урысның да үпкәләгәнен күргәнем юк, киресенчә авызларын гына ерып торалар)).	Мин үзем мәсәлән итәм, әле бер марҗаның да, яки да үпкәләгәнен күргәнем киресенчә авызларын ерып торалар)).
608	Анлагыз хуево Этиен сина бары отчествосын гына калдырганда.	Анлагыз хуево Этиен бары отчествосын калдырганда.
609	Ул старшийларын синен авылда гына невьебенно крутой инде по любому, казангамы анда или белмим нинди шэхэр сезгэ анда якын, барсалар узлэренен очколары жим жим дыр)))	старшийларын синен авылда невьебенно крутой любому, казангамы анда или белмим нинди шэхэр сезгэ анда якын, барсалар узлэренен очколары жим жим
610	хэм шул вакытта уйлап куясын инде нахуй надо дип.	хэм вакытта куясын надо дип.
611	Бөтенесе белә,я дурак	Бөтенесе
612	Мин сволочь.	Мин
613	Если син исэн-сау, таза, сэламэт, йореп торасын икэн шатланыгыз секкэн кызлар Хэм егетлэр шатланыгыыыыз.	Если исэн-сау, таза, сэламэт, торасын шатланыгыз секкэн Хэм шатланыгыыыыз.
614	Мужиклар сегеп атса?	атса?
615	Бу тош кенэ булган икэн, сегим диеп уйладым.	тош булган диеп уйладым.
616	Кутагымы чэйнэмэ, алар бэйлэнсэ бэйлэнеер	чэйнэмэ, бэйлэнсэ бэйлэнеер
617	Сука, сузем калмады:)	сузем
618	Шуннан "бакча артындагы талда" дия дия килеп чыккан раствррны корэк белэн против часавой булгатасын да и опять ябык форточкага " заебааал храпеть уже " дип кычкырасын)))	Шуннан артындагы талда" дия дия чыккан раствррны корэк белэн против часавой булгатасын да и опять ябык форточкага " храпеть уже " дип кычкырасын)))
619	Сез куз алдына китерегез урысны кайсы урысча анламыйда сойлэшмидэ....... какой нахрен ул урыс була сон?	Сез алдына китерегез кайсы анламыйда сойлэшмидэ....... какой була сон?
620	Эй кутагым заебали инде жылап, тегендэ бу, монда шул, сука нежные Блэт)	жылап, нежные
621	колбаса ашыйсыз, эллэ Анда итнен самый заебисеннэн фарш ясап яталар мы	колбаса ашыйсыз, Анда итнен самый заебисеннэн фарш ясап яталар
622	хуй сезгэ, тараканы да, кумагы да шунда, секми дэ ашыйсыз эле лачтыр лочтыр, тэмле дип))	сезгэ, тараканы да, кумагы да шунда, секми дэ ашыйсыз эле лачтыр лочтыр, тэмле дип))
623	Ну бля, неужели булганына шокер эйтеп яшэп булмый?!	Ну неужели булганына шокер яшэп булмый?!
624	Мескен Ике суздэ эйтэ алмый калды кутенэ типтелэр	Мескен Ике суздэ эйтэ алмый типтелэр
625	кутен ябышмасын)	ябышмасын)
626	берэунен дэ кутен катырып йорисе килми	берэунен дэ йорисе килми
627	ял коненда тик ойда  утырабыз инде, тышка щыксан кутен ката бит	коненда тик ойда тышка щыксан ката
628	Берузе яшэп карасын, кутенэ тигэч, тезлэнеп каршына басмас микэн.	Берузе яшэп тигэч, тезлэнеп каршына басмас
629	Ирсез калам дип уйлама, бетмэс монда жыен бук.	Ирсез калам дип уйлама, бетмэс
630	Бу очракта кутене генэ тугел , эллэнэрсэлэрэне жыртырга була .	очракта генэ , эллэнэрсэлэрэне жыртырга була .
631	Бу илдэ кутен белэн кадак суырсан да ,кешегэ ярап булмый.	илдэ белэн кадак суырсан да ярап булмый.
632	Актаныш урамнарын каммунальный них**да карамый,житэкчесе череп баеп бетте инде!	урамнарын каммунальный них**да карамый,житэкчесе череп баеп бетте
633	Токерэ хэзер халыкка , нигэ кутенэ тибеп чыгармыйлар !	Токерэ хэзер халыкка , тибеп чыгармыйлар !
634	Салкын эле,узен чык...кутене катып йор шунда))))	Салкын эле,узен чык...кутене йор шунда))))
635	Барып кутен с*к	Барып
636	кутен сегелсен иртэгэ,пешеп чык парада утыра-утыра..:))	сегелсен иртэгэ,пешеп чык парада утыра-утыра..:))
637	давай,крыса,сина да тэмле тошлэр..:))	давай,крыса,сина да тэмле тошлэр..:))
638	кутенне дэ сортеп бирмэскэме?	дэ бирмэскэме?
639	Ииии Аллам сезне бит бэйлэп куймаганнар, кутенэ тибеп чыгар	Ииии Аллам сезне бэйлэп куймаганнар, тибеп чыгар
640	але килэчэктэ аягын юып ,суында эчерер,мингерэу ишэк.	але килэчэктэ аягын юып ,суында эчерер,мингерэу ишэк.
641	Бу татар халкының хурлыгы, аны нигә куясыз?	хурлыгы, аны куясыз?
642	Татар башын татар ашаган,ул заманаларда да сатлык җаннар күп булган, урыс аракысына сатылып	ашаган,ул заманаларда да сатлык җаннар булган, аракысына сатылып
643	Пычырак телле эдэм синен дэ кукэй эшен бармы кешегэ шулай язарга	телле эдэм синен дэ эшен бармы язарга
644	ычкынып бара бу постепенно	постепенно
645	Машинаны куып кертү өчен, гараждан бу машинаны куып чыгарырга кирәк, сарык	Машинаны кертү гараждан машинаны чыгарырга кирәк, сарык
646	яшьлеген эрэм итэ инде, карт усырак белэн	яшьлеген эрэм итэ белэн
647	Ххатынын балаларын ташлап, яшь хатынга илэнде, хазер мактанып, кутак бэете укып утыра	Ххатынын балаларын ташлап, яшь хазер бэете
648	Давай мазга секмэ эле Иван	мазга секмэ эле Иван
649	Акерма сарек кебек	Акерма сарек
650	авызынны сегим нэрсэ бу	авызынны
651	ничек инде бу яшь матур кыз бу карт тэрене яратсан?	ничек яшь матур тэрене яратсан?
652	Акча очен берешеп беткэн бабай куенында яткачы,уз тинен, белан тормыш иту якшырак тугел микан.	берешеп беткэн бабай куенында яткачы,уз тинен, тормыш иту якшырак
653	косасы килэ инде бу Ильмирадан, жилбэзэк,ялганчы бер хатын инде..	Ильмирадан, жилбэзэк,ялганчы бер
654	Узбак кара халыкнын балаларын яклап ятканчы, татар телен саклап калса лар бик айбат булыр иде Миннехановка.	Узбак халыкнын балаларын яклап ятканчы, саклап калса лар бик айбат булыр Миннехановка.
655	Инде кайда карама шул кара халык басты, жыен авыру шулар дан чыга, сасып йорилар	кайда карама басты, авыру дан чыга, сасып йорилар
656	Кутак куз, барганда кая карый ул малай?	барганда кая
657	Кузенэ кутак ускэн штоли белэт	ускэн штоли
658	Эйдэ кутак чэйнэп йормэгез инде кичкэ таба	Эйдэ чэйнэп йормэгез кичкэ таба
659	Чукеч то арга ойрэн, кутак кул, ананны себрим	Чукеч то ойрэн, кул, себрим
660	Сектен син ашап.	Сектен ашап.
661	Мунча мени бу кутагым, абаааау	Мунча мени абаааау
662	Дивана ЧТОЛЬ Чапылдатма эле шул авызынны !!!	Дивана Чапылдатма эле авызынны !!!
663	кайсы районнан чыккан бу ужым бозады	кайсы районнан чыккан ужым бозады
664	Сегеп салды блэт нормальный рулонны	салды рулонны
665	Киракса узенне сегабез	Киракса сегабез
666	Кешесенэ лэгэсен бит инде ээээ теленне кутенэ тыгалар точно, аннары елама яме	Кешесенэ лэгэсен ээээ теленне тыгалар точно, аннары елама яме
667	Секкечен сынмасын	Секкечен сынмасын
668	Фу хашарат, аны сулап тормыйлар	хашарат, аны тормыйлар
669	Ник бу дуракны монда курсетелер дурдомга озатырга кирек	Ник курсетелер дурдомга озатырга кирек
670	Бу нинди псих хатын?	нинди псих
671	Бу бит сэлэмэт кеше тугел, дивана..	сэлэмэт дивана..
672	Тычкак	
673	Авызынны, улчэп ач берэз, оятсыз.	Авызынны, улчэп ач
674	Уф кыяфэтсез Яруллин хэтле бул эле башта, оятсыз	Уф кыяфэтсез Яруллин хэтле бул эле
675	Нишлэп бетте безнен егетлэр, хатын кыз сыман кут болгап жырлагач матур дип белэлэр микэн сон????	Нишлэп бетте сыман кут болгап жырлагач матур дип белэлэр сон????
676	Сэхнэдэ дэ артистлар шулай кылана бит, гел кут болгап жырлыйлар.	Сэхнэдэ дэ артистлар кылана гел кут болгап
677	Бушкуык, күптән вакыт иде	Бушкуык, күптән вакыт
678	Кутагым блэт кутагыма шул эйберне уйлап чыгардылар мени кутак башлар кутагым	эйберне чыгардылар мени
679	әнаңне сегәем бләт хайван жабыл	әнаңне жабыл
680	мозга секмә итәргә (	мозга секмә итәргә (
681	Э бу маржаланган әйтмим инде кем милләте буенча татар булып туган телен белми.	Э маржаланган әйтмим кем милләте буенча булып белми.
682	Юкны сойлеп утырма инде, елап стрисларга эз чыкмадын, кыланчык	Юкны сойлеп елап стрисларга эз чыкмадын, кыланчык
683	утыралар дингэ бирелдек диеп ерилэрдэ эчеп Се...шеп дин белэн чиста булдык диеп ерилэр но халык дурак тугел Кайсы тишектэн чыканыгызны Белэбез	дингэ бирелдек диеп ерилэрдэ эчеп Се...шеп дин белэн чиста диеп ерилэр но Кайсы тишектэн чыканыгызны Белэбез
684	Халык санын алу якынлашкан мэлдэ нинди тозсыз шаярту	санын алу якынлашкан мэлдэ нинди тозсыз шаярту
685	Артистлар сез сонгы елларны эллэ нишлэдегез, февраль аенда сэхнэ арты пычраклары сойлэпйордегез.	Артистлар сез сонгы елларны нишлэдегез, февраль аенда сэхнэ пычраклары сойлэпйордегез.
686	Жыен гайбэтче, мактанчык татар эстрадасында жыелган икэн.	гайбэтче, мактанчык эстрадасында жыелган
687	Хатыны бик матур, но жырчы тугел, нечего аны ияртеп йорерге, ат дулаганда бака ботын кыстырган кебек.	бик матур, но жырчы нечего аны ияртеп йорерге, ат дулаганда ботын кыстырган
688	Барда жырчы инде хазер этедэ бетедэ,акчан булса	Барда жырчы хазер этедэ бетедэ,акчан булса
689	Мишэр кутенне тишэр дип белми эйтмилэр шул.	дип белми эйтмилэр
690	Башка кайгылары юк от жира бесются илдэ сугыш бара артык акчаннны жибэр фронта оят кирэк шулкадэр кылануга	кайгылары жира бесются илдэ сугыш акчаннны фронта кирэк шулкадэр кылануга
691	Уф Аллам нига кирак инде бу хатын монда.	Уф Аллам нига кирак
692	Алла бар артис та эчкынды инде, тауба.	Алла бар артис та эчкынды тауба.
693	Ния бу ночной бабочка кебек киенгэн	Ния ночной бабочка киенгэн
694	Эстяга нишляден, алкаш хатынга ошагансын.	Эстяга нишляден,
695	Бер кызыгыда Юк, сэхнэдэ сойлэргэ ойрэн аннан чыгарсын, юнсезлек бу кем кушты сина шулай кыйланырга, тэртипсез бигрэк жэлсен унышлар сина...	Бер кызыгыда сэхнэдэ сойлэргэ ойрэн чыгарсын, юнсезлек кем кыйланырга, тэртипсез бигрэк жэлсен унышлар
696	Радикне беля без, а син кем сон, узен сойляп, узен колясен, мягнясез	Радикне без, а кем сон, сойляп, колясен, мягнясез
697	Кит бер колкоседэ юг, килештермилэр дэ ичмасам, надан ойорлэ, Радикнын тырнагынада тормый сыз бит, эзерэк чама белергэ кирэк	бер колкоседэ юг, килештермилэр дэ ичмасам, надан ойорлэ, Радикнын тырнагынада сыз чама белергэ кирэк
698	Татар телен кутарабез эдам колкесе	кутарабез эдам колкесе
699	То Миннехановтан кола ,то мэрхум булган жырчылардан,узен матур итеп жырларга ойран бу артистлар кебек булырга манкан кипмаган,урынына утырасынмы юкмы син тартипсез нарса.	То Миннехановтан кола ,то мэрхум булган жырчылардан,узен матур итеп ойран артистлар булырга кипмаган,урынына утырасынмы юкмы тартипсез
700	Син узенне сойлэгэннэрен яратмыйсын бит, ник кеше чэйнисен, ярты шэрэ тэнен куренеп тора торган кулмэк киеп жырладын, бэлки ул гаилэледер, гаилэсе бн яхшы торадыр, ирененне кара, ходаем, куркыныч, тишек ертыктан колэ ди, синен кебек.	сойлэгэннэрен яратмыйсын ник чэйнисен, ярты шэрэ тэнен куренеп тора торган кулмэк жырладын, бэлки гаилэледер, гаилэсе бн яхшы торадыр, ирененне ходаем, куркыныч, ертыктан колэ ди, синен
